pool_rank,trade_date,symbol,name,close,price_factor_score,action,target_weight,recommendation_tier,confidence,model_version,strategy_type,strategy_label,market_regime_key,market_regime_label,market_breadth_20d,market_breadth_60d,market_avg_momentum_20d,market_amount_trend,market_volatility_20d,adaptive_note,effective_buy_score_threshold,score_weight_alpha,score_weight_fundamental,score_weight_valuation,score_weight_liquidity,score_weight_risk,risk_flags,reason,review_required,amount,amount_yi,pct_change,intraday_position_pct,amplitude_pct_display,gap_pct_display,alpha_score,liquidity_capacity_score,risk_control_score,crowding_penalty,momentum_score,medium_momentum_score,long_momentum_score,liquidity_score,capacity_score,trend20_score,trend60_score,trend120_score,stability_score,tradability_score,reversal_risk_score,board,source_time,industry,market,fundamental_quality_score,valuation_sanity_score,financial_data_score,data_completeness,raw_institutional_score,score_rank,gate_penalty_score,amount_ma20_yi,amount_ma60_yi,volatility_60d,garp_score,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv_yi,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps,end_date
11,2026-06-18,688002,睿创微纳,147.76,76.76,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,valuation_expensive_or_invalid,短期高弹性 2-8周；综合评分 76.8；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 14.21%；60日动量 46.30%；20日成交 14.50亿；换手 1.7892%；PE_TTM 47.6417；ROE 6.715；门禁扣分 3.0；观察候选,True,1239100.96,12.3910096,1.3443,76.0,3.55,0.04,66.11,65.12,84.58,2.97,0.7628883907868298,0.7945994599459947,0.0,0.738933030646992,0.8536585365853658,0.6721517281216903,0.46601604652408624,0.49093253871991566,0.6163450624290578,1.0,0.9798115746971734,star,tushare_proxy,通信设备,科创板,87.68,25.72,1.0,1.0,64.71,0.9846851956891662,3.0,14.499178914999998,12.572340239833334,0.5142993383663192,0.0,1.7892,,47.6417,9.7578,9.7631,0.1038,694.40063192,6.715,53.4041,228.3127,71.1241,36.0722,2.0123,20260331
12,2026-06-18,603259,药明康德,102.72,76.31,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,weak_price_alpha,短期高弹性 2-8周；综合评分 76.3；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 -1.45%；60日动量 13.00%；20日成交 42.53亿；换手 2.3023%；PE_TTM 15.2255；ROE 5.2163；门禁扣分 5.0；观察候选,True,5799270.625,57.99270625,4.6029,75.6,6.73,-0.41,22.71,84.72,90.04,1.23,0.0,0.29042904290428984,0.0,0.9409761634506243,0.9733408961996597,0.25085878591679556,0.169882593980551,0.20123397015982805,0.938706015891033,1.0,0.7252747252747251,main,tushare_proxy,化学制药,主板,77.04,69.17,1.0,1.0,66.58,0.9914917753828701,5.0,42.52868878700001,45.561543978833335,0.41007673150950813,0.8028190488700817,2.3023,,15.2255,3.6391,6.3538,1.8782,3064.91539584,5.2163,50.4026,26.6767,28.8068,21.0799,1.2051,20260331
13,2026-06-18,300054,鼎龙股份,92.18,76.13,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,valuation_expensive_or_invalid,短期高弹性 2-8周；综合评分 76.1；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 26.31%；60日动量 102.28%；20日成交 36.88亿；换手 6.6322%；PE_TTM 105.8033；ROE 4.4251；门禁扣分 3.0；观察候选,True,4492993.24307,44.9299324307,1.1522,83.7,3.42,-0.58,78.56,88.52,74.77,4.38,0.7754438461481484,0.0,0.0,0.9267877412031782,0.8502552467385139,1.0,1.0,1.0,0.29341657207718497,1.0,1.0,chinext,tushare_proxy,化工原料,创业板,74.33,23.3,1.0,1.0,63.92,0.9824163357912649,3.0,36.8807072935,29.3969460665,0.8056014057323275,0.5975093897580823,6.6322,,105.8033,16.0819,22.7778,0.1085,878.34395132,4.4251,54.9471,77.9914,23.8179,40.1705,0.3017,20260331
14,2026-06-18,002171,楚江新材,15.38,75.66,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,,短期高弹性 2-8周；综合评分 75.7；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 42.14%；60日动量 38.93%；20日成交 16.30亿；换手 13.1428%；PE_TTM 63.738；ROE 1.5957；门禁扣分 0.0；观察候选,True,3239108.90104,32.3910890104,2.5333,55.7,8.73,-1.0,75.05,64.28,84.95,3.28,0.34745466353599447,0.9284717089595137,0.0,0.7758229284903518,0.6216676120249575,0.904197838090054,0.7010388991012723,0.5591212883539394,0.7412031782065834,1.0,1.0,main,tushare_proxy,铜,主板,36.76,54.78,1.0,1.0,60.36,0.9546228020419739,0.0,16.30285318608,8.22302353586,0.4272566764526117,0.04365834591882257,13.1428,,63.738,2.8025,0.3821,0.5202,249.60784901999997,1.5957,3.4958,6.387,36.0703,59.5994,-1.1803,20260331
15,2026-06-18,300548,长芯博创,281.99,75.65,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,valuation_expensive_or_invalid,短期高弹性 2-8周；综合评分 75.7；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 21.83%；60日动量 92.97%；20日成交 48.85亿；换手 10.0233%；PE_TTM 221.4446；ROE 6.296；门禁扣分 3.0；观察候选,True,7492886.62119,74.9288662119,4.4872,75.1,7.74,-1.33,67.48,83.53,70.04,2.75,0.8966020930854387,0.0,0.0,0.9483541430192962,0.8723766307430516,0.795840427141563,0.5725310354768443,0.7228073660109485,0.09080590238365494,1.0,0.9834854520699915,chinext,tushare_proxy,通信设备,创业板,77.13,31.56,1.0,1.0,63.38,0.9795802609188883,3.0,48.85323911293499,46.95433571781167,0.8989163028276592,0.1332246844426179,10.0233,,221.4446,39.741,31.1812,0.028,830.89650654,6.296,49.2219,44.9994,24.5308,28.3329,0.7768,20260331
16,2026-06-18,600460,士兰微,41.83,75.21,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,,短期高弹性 2-8周；综合评分 75.2；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 35.20%；60日动量 54.13%；20日成交 42.42亿；换手 8.665%；PE_TTM 151.7105；ROE 1.3038；门禁扣分 0.0；观察候选,True,5978511.055,59.78511055,2.4492,63.6,5.31,-0.81,73.86,85.5,71.39,2.81,0.5352120058002415,0.6522409057412746,0.0,0.9404086265607264,0.8553601815087918,0.895863791405615,0.8679039870992948,0.7420424037949606,0.25255391600454025,1.0,1.0,main,tushare_proxy,半导体,主板,46.53,39.11,1.0,1.0,59.96,0.949517867271696,0.0,42.415489953000005,22.640488967333333,0.5994943673202646,0.18905214637203038,8.665,,151.7105,5.707,5.1292,0.0956,696.08123394,1.3038,19.7882,40.5689,17.3123,52.8674,0.0148,20260331
17,2026-06-18,000970,中科三环,14.94,75.13,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,,短期高弹性 2-8周；综合评分 75.1；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 28.57%；60日动量 25.76%；20日成交 9.98亿；换手 11.9135%；PE_TTM 192.7626；ROE 0.1268；门禁扣分 0.0；观察候选,True,2121050.01236,21.2105001236,4.6952,77.6,7.5,-0.49,77.53,57.12,81.16,2.77,0.7142857142857141,0.7018572825024431,0.0,0.6203178206583428,0.5065229722064662,0.858156590683845,0.5760881115259507,0.4182566605435697,0.4250851305334846,1.0,1.0,main,tushare_proxy,矿物制品,主板,40.21,53.02,1.0,1.0,59.91,0.9483834373227453,0.0,9.982618673754999,5.023512279418333,0.5077425927925892,0.05369195061697654,11.9135,,192.7626,2.7793,2.649,0.1657,181.62943452000002,0.1268,12.8401,21.5404,14.7854,24.2964,-0.0046,20260331
18,2026-06-18,600522,中天科技,56.55,75.1,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,,短期高弹性 2-8周；综合评分 75.1；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 34.96%；60日动量 120.04%；20日成交 157.74亿；换手 8.3396%；PE_TTM 60.4334；ROE 2.1842；门禁扣分 0.0；观察候选,True,16052977.965,160.52977965,2.9867,66.5,6.63,-1.42,62.9,90.87,76.23,3.95,0.5415080952073796,0.0,0.0,0.9931895573212258,0.9625638116846285,0.9462177558727517,1.0,1.0,0.3314415437003405,1.0,1.0,main,tushare_proxy,通信设备,主板,51.23,42.08,1.0,1.0,59.9,0.94781622234827,0.0,157.740509874,109.679701823,0.7488266631113367,0.6244564443992315,8.3396,,60.4334,5.0773,3.4535,0.5276,1930.02305535,2.1842,15.5814,46.4204,34.7112,38.5161,-0.5709,20260331
19,2026-06-18,688017,绿的谐波,408.01,74.39,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,,短期高弹性 2-8周；综合评分 74.4；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 21.79%；60日动量 119.34%；20日成交 60.88亿；换手 10.4738%；PE_TTM 546.9768；ROE --；门禁扣分 0.0；观察候选,True,7694417.272,76.94417272,6.9209,84.8,10.01,0.0,64.7,83.19,68.59,4.65,0.8974586526825337,0.0,0.0,0.9653802497162316,0.8655700510493477,0.6978560058343789,1.0,1.0,0.10329171396140746,1.0,0.8312067383871238,star,tushare_proxy,机械基件,科创板,66.31,40.16,0.8,0.94,59.3,0.9393079977311402,0.0,60.88106924399999,33.27892230233333,0.848824865763733,0.053765828586450494,10.4738,,546.9768,20.9594,122.0591,0.0245,748.00514101,,33.618,61.1688,42.9556,9.4431,0.0294,20260331
20,2026-06-18,301536,星宸科技,112.64,74.23,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,valuation_expensive_or_invalid,短期高弹性 2-8周；综合评分 74.2；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 28.53%；60日动量 47.84%；20日成交 9.84亿；换手 6.1553%；PE_TTM 99.5007；ROE 6.5；门禁扣分 3.0；观察候选,True,1291156.93787,12.9115693787,2.3442,73.1,4.52,0.0,84.85,66.45,75.01,3.66,0.7155192618451403,0.7665286544404537,0.0,0.6140749148694665,0.5609756097560976,1.0,0.8351563071516013,0.7820500353181677,0.3087400681044268,1.0,1.0,chinext,tushare_proxy,半导体,创业板,78.53,12.34,1.0,1.0,61.72,0.9722064662507091,3.0,9.836437638765,7.582860671588333,0.6096570248874672,0.24306182196277434,6.1553,,99.5007,14.7344,14.3927,0.2652,475.02003732000003,6.5,46.0536,330.2853,49.347,41.0558,-0.0367,20260331
21,2026-06-18,688559,海目星,77.9,73.46,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,high_debt_ratio,短期高弹性 2-8周；综合评分 73.5；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 16.06%；60日动量 48.38%；20日成交 10.33亿；换手 8.1623%；PE_TTM --；ROE 0.307；门禁扣分 3.0；观察候选,True,1547247.172,15.47247172,6.7123,71.1,9.38,2.33,78.08,63.82,69.59,2.19,0.8787991656734205,0.7567099567099566,0.0,0.6333711691259932,0.5314804310833806,0.7999435282809165,0.6866573024754191,0.6270024183312866,0.30760499432463106,1.0,1.0,star,tushare_proxy,专用机械,科创板,58.31,45.25,1.0,0.938,61.16,0.9614293817356778,3.0,10.3317340755,6.643107594666668,0.6140885400303328,0.0,8.1623,,,7.9696,3.864,,193.004261,0.307,21.858,113.3527,144.3632,83.6926,5.2646,20260331
